,id,comment,author,likecount,publishedAt,Label
0,UgzMlUFRdeDwQ2mv8-B4AaABAg,kimochi nah,Nhu Phan,0,2021-04-24T04:40:23Z,null
1,UgyLZqdfYCwcxWpBuyl4AaABAg,cho mình hỏi bài số 7 tên gì vậy,bui thi thoa,1,2021-04-24T03:36:42Z,null
2,UgwrDdI2ELtr2F1MbOV4AaABAg,"Giọt lệ của cô đó khác lạ, rất khó rơi nay lại khóc vì 1 thằng khác...chắc vậy :<",tamthoi hayvai,0,2021-04-22T10:55:48Z,null
3,Ugxgxait4vBwBp3WQqJ4AaABAg,Hài hước quá!! Cho một like!,Hoa Nguyễn Thị Diệu,1,2021-04-20T15:22:23Z,null
4,Ugw6UeTz8bNfTfgMmyN4AaABAg,Cj gu gồ vào bl căm pạch,lai xuan,0,2021-04-20T13:46:59Z,null
5,UgyOWlWZKkjHy6nk6GV4AaABAg,Mọi người thế nào chứ tôi chỉ thấy cái quả Ba thứ tiếng kia mới cạn lời thôi,Minh Thu Bùi,0,2021-04-20T07:36:03Z,null
6,UgyxHJXjEQ_78zNk5094AaABAg,"Nghe thôi đừng hiểu, mệt não",Thuong Thuong,0,2021-04-19T14:38:27Z,null
7,UgxJDsbwwTuxni8QN4F4AaABAg,0:27 hahah,Zack YT,0,2021-04-17T09:45:23Z,null
8,UgyPX8oHUUTTCj2vGiJ4AaABAg,Thương em như thương cây bàng,Hà thơ thẩn,0,2021-04-16T16:04:29Z,null
9,UgyKNCgrpbVfmX_jFPh4AaABAg,1:30 bài j v ạ,Minh Anh Lê Thị,0,2021-04-16T13:18:19Z,null
10,Ugy0Z9Yuilz5CqMByqN4AaABAg,nghe mát tai đc rồi,Hồng Nguyễn,0,2021-04-15T12:02:45Z,null
11,UgxkyzpOSvX5J7Md59F4AaABAg,Nghe cxg hợp lý nhưng mà soi mối quá các tác giả ko ra bài hay nữa bây h,Mưa Mây,0,2021-04-14T04:48:53Z,null
12,UgzIGkraXyv-rx4khyd4AaABAg,Hợp lý thế nhờ. Giờ mới để ý😁😁,Phương Linh Nguyễn,0,2021-04-12T10:16:10Z,null
13,UgyqfocysztvWaP8xPV4AaABAg,Cay bàng vì lá bàng bán được,kênh hỗn hợp cám lợn Offices,0,2021-04-11T02:03:45Z,null
14,UgweQucbJT84jCDPfgl4AaABAg,Same cây bàng non vs giọt lệ cầu kì :)))),Phương Thảo,0,2021-04-10T16:10:48Z,null
15,Ugw6AUZYgd1H4M4k_7J4AaABAg,"Có bài đúng hack não, nhưng mà vẫn nghe ok",Huyền Lý Thị,0,2021-04-10T14:51:15Z,null
16,UgxruQYKuBSNbgLAaT94AaABAg,ATSM:)),Hien Thanh,0,2021-04-06T03:57:41Z,null
17,UgyZT7EnCHi5tjaeLP94AaABAg,Kajima là tiếng hàn dịch là đừng đi mà,Real,0,2021-04-05T17:14:32Z,null
18,Ugwi6995xuU4L6Xkfod4AaABAg,cái này không phải hack não mà là tk l ad thích khịa thôi,Củ Khoai Tây Alions,0,2021-04-04T14:43:37Z,null
19,Ugw4gPnL8mOVtvcd-j14AaABAg,Bấy bì cả chiều mưa :)),Ngọc Bình Lê,1,2021-04-03T14:17:09Z,null
20,UgwCMPnwHQSwygdk72N4AaABAg,Hầu như đều là phép nói quá :),Saa Lee,0,2021-04-01T14:46:01Z,null
21,UgwhednJLV4iFlubOUZ4AaABAg,hihi vui,Hai Nguyen,0,2021-03-25T03:06:52Z,null
22,UgxiKSNRPD9TFPAaRKh4AaABAg,"Bìh thường chư có *hách* gì đâu,ghe hiểu là dk r
Lời khuyên cho mí bn hk hiểu *cứ hiểu thôi* ☺☺",ngự ngạ0 long,0,2021-03-03T11:30:40Z,null
23,UgyOloCyoG9XMMyU_MB4AaABAg,:) Erik hát gì t kh nghe được luôn,KPOP HATEE,0,2021-03-02T15:35:49Z,null
24,Ugy0HXBe7ay9Mf0_haJ4AaABAg,Lời của bài hát không hề hack não cho đến khi thằng ad đặt cái title,Quỳnh Trang Nguyễn,0,2021-02-25T16:32:27Z,null
25,UgxmOdxy34ISCdutmZx4AaABAg,"Suýt lúc đầu định trách ad nhưng nghe đến hết thật ý nghĩa 😂.
Ôi may vl mình vẫn biết nhịn😂😂😂",Trùm cuối Đam mĩ :3,0,2021-02-03T04:19:53Z,null
26,UgxDf4KRqJKe8xrDwe54AaABAg,em mới là ng yêu anh có nghĩa là con nhỏ mất dạy kia cướp bồ ngta chứ ko phải chị min :))),Minh Nguyễn Hồng,0,2020-09-05T08:18:14Z,null
27,UgwrnRnc3jMF_2yZYS54AaABAg,Thằng ad củng đell liên quan,ngọc tuấn vlog,0,2019-06-16T06:31:02Z,null
28,Ugx5Ru0p5aqRq10oQh54AaABAg,Bài của hari won là j z,Moon KT,0,2019-04-15T04:58:25Z,null
29,UgzgJrqzu2iLlQ3P9Zp4AaABAg,Rối não thiệt😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,Trần Phalê,0,2019-04-05T13:03:33Z,null
30,UgxYkexj5YGRsl2Gbal4AaABAg,Nhạc việt riết rồi chẳng có ý nghĩa gì cả!,Minh Phan,0,2019-03-30T17:27:43Z,null
31,Ugwh931egh8WwASHrsx4AaABAg,Hay,Nv 0 Boss,0,2019-03-22T01:07:38Z,null
32,UgzmhgwEFq9rXYRP13J4AaABAg,"Vì anh thương em ,như thương con bạn em :>>> em biết không,làm sao biết được :>>>",Sơn Phan,0,2019-03-16T19:11:23Z,null
33,UgxjmI1ugpeOpcosvAl4AaABAg,Sân si ghê :)),Thu Hoài,2,2019-02-27T14:45:45Z,null
34,Ugy-GVJVE-9j1ngs7lx4AaABAg,"Sai r add oie 
""Vì anh thương em, thương lun con bn của em"" ms đg",Vân Phan,0,2019-02-26T15:44:59Z,null
35,UgwdWiR-nSyHcIWQtgt4AaABAg,1:51 là bài gì ạ,Bắp Blink fan kpop,0,2019-02-26T13:08:35Z,null
36,Ugyx8zXisrHBLFF1ib54AaABAg,Ông giỏi vậy thì ông đi sáng tác nhạc đi bắt bẻ nhạc của người ta chi vậy.?!,Minh Lê,0,2019-02-25T16:44:59Z,null
37,Ugwbyphn_3S2svxOMmp4AaABAg,Cầu kì có nghĩa là quá tỉ mỉ màu mè . như kiểu câu có cần phải trang trí cầu kì vậy ko . giọt lệ cầu kì có lẽ nên hiểu là sự giả tạo,cuong lemanh,0,2019-02-25T05:21:25Z,null
38,UgzuTxDZ7tNB3y-JrhF4AaABAg,"ACE cho hoi xiu nhe "" Vi Anh Thuong Em Nhu Thuong Cay Bang NOn '  thac mac hum bua toi h ma ko biet thuong Cay Bang Non Lam JI nhi",Hoàng Bảo Văn,0,2019-02-24T12:20:05Z,null
39,UgzTpLqd101-Z1S5AL94AaABAg,Bài 1:33 là bài j vậy ạ,Yến Nhi,0,2019-02-21T08:32:24Z,null
40,UgxPMOUoQQEH9Hi-Z514AaABAg,Ôi vinh,Linh Hoang,0,2019-02-16T07:10:00Z,null
41,UgwrR0YBeKxjc7z-Vlh4AaABAg,Nhạc bây giờ vớ vẩn nhố nhăng,Lam Vu,0,2019-02-12T13:51:31Z,null
42,UgysiizjoEAz_KBfKKd4AaABAg,"Sky của anh Sơn Tùng quá đông, ko ai dám bắt lỗi. Mà hình như cx chẳng có lỗi để bắt. Sky oh yea....",trần nhựt hào,10,2019-02-11T15:16:08Z,null
43,UgzXmBwg5BiGfDahWtV4AaABAg,"tui thấy bài của erik baby kajima bình thường mà 








(ý kiến riêng)",Kim Hau Tran,0,2019-02-11T14:33:13Z,null
44,UgzvHzqS_6VhXa6Np1V4AaABAg,Làm cái vd nhảm lồn,Nguyễn Tâm,0,2019-02-11T14:13:01Z,null
45,UgyNrb0XqAS1x1fHtXB4AaABAg,Video xàm quá! Bài hát người ta hay vậy mà,Nguyen Phuong Cam Sa,0,2019-02-11T09:45:48Z,null
46,UgyoZ9KF78IRmzoIQnp4AaABAg,"Định mệnh méo thấy vui mà bực thêm đấy, hà hà cỡ đứa mau nong là bay điện thoại rồi",duy boss,0,2019-02-11T06:31:32Z,null
47,Ugz-g2gratga0dUTg6V4AaABAg,Hơi bị mặn,pít tv,0,2019-02-11T03:32:35Z,null
48,UgxzJbqroNPQDvWSWet4AaABAg,"Xin xem ""sự tích"" bài Vô cùng để biết vì sao lại đi so sánh em vs cây bàng như thế",Xuan Toan Vu,0,2019-02-11T02:07:52Z,null
49,UgwAh6mCV9wSqbrgTf94AaABAg,Các mày cho tao hỏi '' dòng lệ đầy cầu kì là cái quần què gì vậy '' Tao mệt mỏi thật sự ..... --:)),Sơn Tùng M-TP Sky,0,2019-02-10T12:05:24Z,null
50,UgzDvWn1h7zSHM_HwZB4AaABAg,"Riêng nói về bài “Vô cùng” thì mình đéo thích. K tự nhiên ngta viết cây bàng đâu, đằng sau là cả 1 câu chuyện nội dung cực kì tuyệt vời. AD k có não mới sân si với bài này :)",Hieu nguyen van,0,2019-02-10T11:09:40Z,null
51,Ugydfq-KNBWUR4ZkMJ94AaABAg,Xàm,Băng Đô,0,2019-02-10T07:46:35Z,null
